#F norm: /SNS/REF_M/IPTS-1369/shared/REF_M_4415_p0.nxs
#F data: /SNS/REF_M/IPTS-1260/shared/REF_M_4594_p0.nxs
#E 1228236108.83
#D 2008-12-02T11:41:48.831324-05:00
#C norm Run Number: 4415
#C data Run Number: 4594
#C data Title: _No0
#C norm Title: _No0
#C norm Notes: NONE
#C data Notes: NONE
#C norm Proton Charge: (1259125997570.0, 'picoCoulomb')
#C data Proton Charge: (2680195121150.0, 'picoCoulomb')
#C data theta: (0.0058239718006912614, 0.0, 'radians')
#C HLR Version - 1.4.6
#C DOM Version - 1.4.2
#C SCL Version - 1.2.1

#S 1 Spectrum ID ('bank1', (0, 127))
#N 3
#L lambda_T(Angstroms)  Intensity(Counts/A)  Sigma(Counts/A)
0.0   nan   nan
12.7027519349   nan   nan
25.4055038698   nan   nan
38.1082558047   nan   nan
50.8110077397   nan   nan
63.5137596746   nan   nan
76.2165116095   nan   nan
88.9192635444   nan   nan
101.622015479   nan   nan
114.324767414   nan   nan
127.027519349   nan   nan
139.730271284   nan   nan
152.433023219   nan   nan
165.135775154   nan   nan
177.838527089   nan   nan
190.541279024   nan   nan
203.244030959   nan   nan
215.946782894   nan   nan
228.649534828   nan   nan
241.352286763   nan   nan
254.055038698   nan   nan
266.757790633   nan   nan
279.460542568   nan   nan
292.163294503   nan   nan
304.866046438   nan   nan
317.568798373   nan   nan
330.271550308   0.0   0.0
342.974302243   0.0   0.0
355.677054178   0.0   0.0
368.379806112   0.0   0.0
381.082558047   0.0   0.0
393.785309982   0.0   0.0
406.488061917   0.0   0.0
419.190813852   0.0   0.0
431.893565787   0.0   0.0
444.596317722   0.0   0.0
457.299069657   0.0   0.0
470.001821592   0.0   0.0
482.704573527   0.0   0.0
495.407325462   0.0   0.0
508.110077397   0.0   0.0
520.812829331   0.0   0.0
533.515581266   0.0   0.0
546.218333201   0.0   0.0
558.921085136   0.0   0.0
571.623837071   0.0   0.0
584.326589006   0.0   0.0
597.029340941   0.0   0.0
609.732092876   0.0   0.0
622.434844811   0.0   0.0
635.137596746   0.0   0.0
647.840348681   0.0   0.0
660.543100616   0.0   0.0
673.24585255   0.0   0.0
685.948604485   0.0   0.0
698.65135642   0.0   0.0
711.354108355   0.0   0.0
724.05686029   0.0   0.0
736.759612225   0.0   0.0
749.46236416   0.0   0.0
762.165116095   0.0   0.0
774.86786803   0.0   0.0
787.570619965   0.0   0.0
800.2733719   0.0   0.0
812.976123834   0.0   0.0
825.678875769   0.0   0.0
838.381627704   0.0   0.0
851.084379639   0.0   0.0
863.787131574   0.0   0.0
876.489883509   0.0   0.0
889.192635444   0.0   0.0
901.895387379   0.0   0.0
914.598139314   0.0   0.0
927.300891249   0.0   0.0
940.003643184   0.0   0.0
952.706395119   0.0   0.0
965.409147053   0.0   0.0
978.111898988   0.0   0.0
990.814650923   nan   nan
1003.51740286   nan   nan
1016.22015479   nan   nan
1028.92290673   nan   nan
1041.62565866   nan   nan
1054.3284106   nan   nan
1067.03116253   nan   nan
1079.73391447   nan   nan
1092.4366664   nan   nan
1105.13941834   nan   nan
1117.84217027   nan   nan
1130.54492221   nan   nan
1143.24767414   nan   nan
1155.95042608   nan   nan
1168.65317801   nan   nan
1181.35592995   nan   nan
1194.05868188   nan   nan
1206.76143382   nan   nan
1219.46418575   nan   nan
1232.16693769   nan   nan
1244.86968962   nan   nan
1257.57244156   nan   nan
1270.27519349   nan   nan
1282.97794543   nan   nan
1295.68069736   nan   nan
1308.3834493   nan   nan
1321.08620123   nan   nan
1333.78895317   nan   nan
1346.4917051   nan   nan
1359.19445704   nan   nan
1371.89720897   nan   nan
1384.59996091   nan   nan
1397.30271284   nan   nan
1410.00546478   nan   nan
1422.70821671   nan   nan
1435.41096865   nan   nan
1448.11372058   nan   nan
1460.81647252   nan   nan
1473.51922445   nan   nan
1486.22197638   nan   nan
1498.92472832   nan   nan
1511.62748025   nan   nan
1524.33023219   nan   nan
1537.03298412   nan   nan
1549.73573606   nan   nan
1562.43848799   nan   nan
1575.14123993   nan   nan
1587.84399186   nan   nan
1600.5467438   nan   nan
1613.24949573   nan   nan
1625.95224767   nan   nan
1638.6549996   nan   nan
1651.35775154   nan   nan
1664.06050347   nan   nan
1676.76325541   nan   nan
1689.46600734   nan   nan
1702.16875928   nan   nan
1714.87151121   nan   nan
1727.57426315   nan   nan
1740.27701508   nan   nan
1752.97976702   nan   nan
1765.68251895   nan   nan
1778.38527089   nan   nan
1791.08802282   nan   nan
1803.79077476   nan   nan
1816.49352669   nan   nan
1829.19627863   nan   nan
1841.89903056   nan   nan
1854.6017825   nan   nan
1867.30453443   nan   nan
1880.00728637   nan   nan
1892.7100383   nan   nan
1905.41279024   nan   nan
1918.11554217   nan   nan
1930.81829411   nan   nan
1943.52104604   nan   nan
1956.22379798   nan   nan
1968.92654991   nan   nan
1981.62930185   nan   nan
1994.33205378   nan   nan
2007.03480572   nan   nan
2019.73755765   nan   nan
2032.44030959   nan   nan
2045.14306152   nan   nan
2057.84581346   nan   nan
2070.54856539   nan   nan
2083.25131733   nan   nan
2095.95406926   nan   nan
2108.6568212   nan   nan
2121.35957313   nan   nan
2134.06232507   nan   nan
2146.765077   nan   nan
2159.46782894   nan   nan
2172.17058087   nan   nan
2184.87333281   nan   nan
2197.57608474   nan   nan
2210.27883667   nan   nan
2222.98158861   nan   nan
2235.68434054   nan   nan
2248.38709248   nan   nan
2261.08984441   nan   nan
2273.79259635   nan   nan
2286.49534828   nan   nan
2299.19810022   nan   nan
2311.90085215   nan   nan
2324.60360409   nan   nan
2337.30635602   nan   nan
2350.00910796   nan   nan
2362.71185989   nan   nan
2375.41461183   nan   nan
2388.11736376   nan   nan
2400.8201157   nan   nan
2413.52286763   nan   nan
2426.22561957   nan   nan
2438.9283715   nan   nan
2451.63112344   nan   nan
2464.33387537   nan   nan
2477.03662731   nan   nan
2489.73937924   nan   nan
2502.44213118   nan   nan
2515.14488311   nan   nan
2527.84763505   nan   nan
2540.55038698   nan   nan
2553.25313892   nan   nan
2565.95589085   nan   nan
2578.65864279   nan   nan
2591.36139472   nan   nan
2604.06414666   nan   nan
2616.76689859   nan   nan
2629.46965053   nan   nan
2642.17240246   nan   nan
2654.8751544   nan   nan
2667.57790633   nan   nan
2680.28065827   nan   nan
2692.9834102   nan   nan
2705.68616214   nan   nan
2718.38891407   nan   nan
2731.09166601   nan   nan
2743.79441794   nan   nan
2756.49716988   nan   nan
2769.19992181   nan   nan
2781.90267375   nan   nan
2794.60542568   nan   nan
2807.30817762   nan   nan
2820.01092955   nan   nan
2832.71368149   nan   nan
2845.41643342   nan   nan
2858.11918536   nan   nan
2870.82193729   nan   nan
2883.52468923   nan   nan
2896.22744116   nan   nan
2908.9301931   nan   nan
2921.63294503   nan   nan
2934.33569697   nan   nan
2947.0384489   nan   nan
2959.74120083   nan   nan
2972.44395277   nan   nan
2985.1467047   nan   nan
2997.84945664   nan   nan
3010.55220857   nan   nan
3023.25496051   nan   nan
3035.95771244   nan   nan
3048.66046438   nan   nan
3061.36321631   nan   nan
3074.06596825   nan   nan
3086.76872018   nan   nan
3099.47147212   nan   nan
3112.17422405   nan   nan
3124.87697599   nan   nan
3137.57972792   nan   nan
3150.28247986   nan   nan
3162.98523179   nan   nan
3175.68798373   nan   nan
3188.39073566   nan   nan
3201.0934876   nan   nan
3213.79623953   nan   nan
3226.49899147   nan   nan
3239.2017434   nan   nan
3251.90449534   nan   nan
3264.60724727   nan   nan
3277.30999921   nan   nan
3290.01275114   nan   nan
3302.71550308   nan   nan
3315.41825501   nan   nan
3328.12100695   nan   nan
3340.82375888   nan   nan
3353.52651082   nan   nan
3366.22926275   nan   nan
3378.93201469   nan   nan
3391.63476662   nan   nan
3404.33751856   nan   nan
3417.04027049   nan   nan
3429.74302243   nan   nan
3442.44577436   nan   nan
3455.1485263   nan   nan
3467.85127823   nan   nan
3480.55403017   nan   nan
3493.2567821   nan   nan
3505.95953404   nan   nan
3518.66228597   nan   nan
3531.36503791   nan   nan
3544.06778984   nan   nan
3556.77054178   nan   nan
3569.47329371   nan   nan
3582.17604565   nan   nan
3594.87879758   nan   nan
3607.58154952   nan   nan
3620.28430145   nan   nan
3642.5765686   

#S 2 Spectrum ID ('bank1', (1, 127))
#N 3
#L lambda_T(Angstroms)  Intensity(Counts/A)  Sigma(Counts/A)
0.0   nan   nan
12.7027519349   nan   nan
25.4055038698   nan   nan
38.1082558047   nan   nan
50.8110077397   nan   nan
63.5137596746   nan   nan
76.2165116095   nan   nan
88.9192635444   nan   nan
101.622015479   nan   nan
114.324767414   nan   nan
127.027519349   nan   nan
139.730271284   nan   nan
152.433023219   nan   nan
165.135775154   nan   nan
177.838527089   nan   nan
190.541279024   nan   nan
203.244030959   nan   nan
215.946782894   nan   nan
228.649534828   nan   nan
241.352286763   nan   nan
254.055038698   nan   nan
266.757790633   nan   nan
279.460542568   nan   nan
292.163294503   nan   nan
304.866046438   nan   nan
317.568798373   nan   nan
330.271550308   0.0   0.0
342.974302243   0.0   0.0
355.677054178   0.0   0.0
368.379806112   0.0   0.0
381.082558047   0.0   0.0
393.785309982   0.0   0.0
406.488061917   0.0   0.0
419.190813852   0.0   0.0
431.893565787   0.0   0.0
444.596317722   0.0   0.0
457.299069657   0.0   0.0
470.001821592   0.0   0.0
482.704573527   0.0   0.0
495.407325462   0.0   0.0
508.110077397   0.0   0.0
520.812829331   0.0   0.0
533.515581266   0.0   0.0
546.218333201   0.0   0.0
558.921085136   0.0   0.0
571.623837071   0.0   0.0
584.326589006   0.0   0.0
597.029340941   0.0   0.0
609.732092876   0.0   0.0
622.434844811   0.0   0.0
635.137596746   0.0   0.0
647.840348681   0.0   0.0
660.543100616   0.0   0.0
673.24585255   0.0   0.0
685.948604485   0.0   0.0
698.65135642   0.0   0.0
711.354108355   0.0   0.0
724.05686029   0.0   0.0
736.759612225   0.0   0.0
749.46236416   0.0   0.0
762.165116095   0.0   0.0
774.86786803   0.0   0.0
787.570619965   0.0   0.0
800.2733719   0.0   0.0
812.976123834   0.0   0.0
825.678875769   0.0   0.0
838.381627704   0.0   0.0
851.084379639   0.0   0.0
863.787131574   0.0   0.0
876.489883509   0.0   0.0
889.192635444   0.0   0.0
901.895387379   0.0   0.0
914.598139314   0.0   0.0
927.300891249   0.0   0.0
940.003643184   0.0   0.0
952.706395119   0.0   0.0
965.409147053   0.0   0.0
978.111898988   0.0   0.0
990.814650923   nan   nan
1003.51740286   nan   nan
1016.22015479   nan   nan
1028.92290673   nan   nan
1041.62565866   nan   nan
1054.3284106   nan   nan
1067.03116253   nan   nan
1079.73391447   nan   nan
1092.4366664   nan   nan
1105.13941834   nan   nan
1117.84217027   nan   nan
1130.54492221   nan   nan
1143.24767414   nan   nan
1155.95042608   nan   nan
1168.65317801   nan   nan
1181.35592995   nan   nan
1194.05868188   nan   nan
1206.76143382   nan   nan
1219.46418575   nan   nan
1232.16693769   nan   nan
1244.86968962   nan   nan
1257.57244156   nan   nan
1270.27519349   nan   nan
1282.97794543   nan   nan
1295.68069736   nan   nan
1308.3834493   nan   nan
1321.08620123   nan   nan
1333.78895317   nan   nan
1346.4917051   nan   nan
1359.19445704   nan   nan
1371.89720897   nan   nan
1384.59996091   nan   nan
1397.30271284   nan   nan
1410.00546478   nan   nan
1422.70821671   nan   nan
1435.41096865   nan   nan
1448.11372058   nan   nan
1460.81647252   nan   nan
1473.51922445   nan   nan
1486.22197638   nan   nan
1498.92472832   nan   nan
1511.62748025   nan   nan
1524.33023219   nan   nan
1537.03298412   nan   nan
1549.73573606   nan   nan
1562.43848799   nan   nan
1575.14123993   nan   nan
1587.84399186   nan   nan
1600.5467438   nan   nan
1613.24949573   nan   nan
1625.95224767   nan   nan
1638.6549996   nan   nan
1651.35775154   nan   nan
1664.06050347   nan   nan
1676.76325541   nan   nan
1689.46600734   nan   nan
1702.16875928   nan   nan
1714.87151121   nan   nan
1727.57426315   nan   nan
1740.27701508   nan   nan
1752.97976702   nan   nan
1765.68251895   nan   nan
1778.38527089   nan   nan
1791.08802282   nan   nan
1803.79077476   nan   nan
1816.49352669   nan   nan
1829.19627863   nan   nan
1841.89903056   nan   nan
1854.6017825   nan   nan
1867.30453443   nan   nan
1880.00728637   nan   nan
1892.7100383   nan   nan
1905.41279024   nan   nan
1918.11554217   nan   nan
1930.81829411   nan   nan
1943.52104604   nan   nan
1956.22379798   nan   nan
1968.92654991   nan   nan
1981.62930185   nan   nan
1994.33205378   nan   nan
2007.03480572   nan   nan
2019.73755765   nan   nan
2032.44030959   nan   nan
2045.14306152   nan   nan
2057.84581346   nan   nan
2070.54856539   nan   nan
2083.25131733   nan   nan
2095.95406926   nan   nan
2108.6568212   nan   nan
2121.35957313   nan   nan
2134.06232507   nan   nan
2146.765077   nan   nan
2159.46782894   nan   nan
2172.17058087   nan   nan
2184.87333281   nan   nan
2197.57608474   nan   nan
2210.27883667   nan   nan
2222.98158861   nan   nan
2235.68434054   nan   nan
2248.38709248   nan   nan
2261.08984441   nan   nan
2273.79259635   nan   nan
2286.49534828   nan   nan
2299.19810022   nan   nan
2311.90085215   nan   nan
2324.60360409   nan   nan
2337.30635602   nan   nan
2350.00910796   nan   nan
2362.71185989   nan   nan
2375.41461183   nan   nan
2388.11736376   nan   nan
2400.8201157   nan   nan
2413.52286763   nan   nan
2426.22561957   nan   nan
2438.9283715   nan   nan
2451.63112344   nan   nan
2464.33387537   nan   nan
2477.03662731   nan   nan
2489.73937924   nan   nan
2502.44213118   nan   nan
2515.14488311   nan   nan
2527.84763505   nan   nan
2540.55038698   nan   nan
2553.25313892   nan   nan
2565.95589085   nan   nan
2578.65864279   nan   nan
2591.36139472   nan   nan
2604.06414666   nan   nan
2616.76689859   nan   nan
2629.46965053   nan   nan
2642.17240246   nan   nan
2654.8751544   nan   nan
2667.57790633   nan   nan
2680.28065827   nan   nan
2692.9834102   nan   nan
2705.68616214   nan   nan
2718.38891407   nan   nan
2731.09166601   nan   nan
2743.79441794   nan   nan
2756.49716988   nan   nan
2769.19992181   nan   nan
2781.90267375   nan   nan
2794.60542568   nan   nan
2807.30817762   nan   nan
2820.01092955   nan   nan
2832.71368149   nan   nan
2845.41643342   nan   nan
2858.11918536   nan   nan
2870.82193729   nan   nan
2883.52468923   nan   nan
2896.22744116   nan   nan
2908.9301931   nan   nan
2921.63294503   nan   nan
2934.33569697   nan   nan
2947.0384489   nan   nan
2959.74120083   nan   nan
2972.44395277   nan   nan
2985.1467047   nan   nan
2997.84945664   nan   nan
3010.55220857   nan   nan
3023.25496051   nan   nan
3035.95771244   nan   nan
3048.66046438   nan   nan
3061.36321631   nan   nan
3074.06596825   nan   nan
3086.76872018   nan   nan
3099.47147212   nan   nan
3112.17422405   nan   nan
3124.87697599   nan   nan
3137.57972792   nan   nan
3150.28247986   nan   nan
3162.98523179   nan   nan
3175.68798373   nan   nan
3188.39073566   nan   nan
3201.0934876   nan   nan
3213.79623953   nan   nan
3226.49899147   nan   nan
3239.2017434   nan   nan
3251.90449534   nan   nan
3264.60724727   nan   nan
3277.30999921   nan   nan
3290.01275114   nan   nan
3302.71550308   nan   nan
3315.41825501   nan   nan
3328.12100695   nan   nan
3340.82375888   nan   nan
3353.52651082   nan   nan
3366.22926275   nan   nan
3378.93201469   nan   nan
3391.63476662   nan   nan
3404.33751856   nan   nan
3417.04027049   nan   nan
3429.74302243   nan   nan
3442.44577436   nan   nan
3455.1485263   nan   nan
3467.85127823   nan   nan
3480.55403017   nan   nan
3493.2567821   nan   nan
3505.95953404   nan   nan
3518.66228597   nan   nan
3531.36503791   nan   nan
3544.06778984   nan   nan
3556.77054178   nan   nan
3569.47329371   nan   nan
3582.17604565   nan   nan
3594.87879758   nan   nan
3607.58154952   nan   nan
3620.28430145   nan   nan
3642.5765686   

#S 3 Spectrum ID ('bank1', (2, 127))
#N 3
#L lambda_T(Angstroms)  Intensity(Counts/A)  Sigma(Counts/A)
0.0   nan   nan
12.7027519349   nan   nan
25.4055038698   nan   nan
38.1082558047   nan   nan
50.8110077397   nan   nan
63.5137596746   nan   nan
76.2165116095   nan   nan
88.9192635444   nan   nan
101.622015479   nan   nan
114.324767414   nan   nan
127.027519349   nan   nan
139.730271284   nan   nan
152.433023219   nan   nan
165.135775154   nan   nan
177.838527089   nan   nan
190.541279024   nan   nan
203.244030959   nan   nan
215.946782894   nan   nan
228.649534828   nan   nan
241.352286763   nan   nan
254.055038698   nan   nan
266.757790633   nan   nan
279.460542568   nan   nan
292.163294503   nan   nan
304.866046438   nan   nan
317.568798373   nan   nan
330.271550308   0.0   0.0
342.974302243   0.0   0.0
355.677054178   0.0   0.0
368.379806112   0.0   0.0
381.082558047   0.0   0.0
393.785309982   0.0   0.0
406.488061917   0.0   0.0
419.190813852   0.0   0.0
431.893565787   0.0   0.0
444.596317722   0.0   0.0
457.299069657   0.0   0.0
470.001821592   0.0   0.0
482.704573527   0.0   0.0
495.407325462   0.0   0.0
508.110077397   0.0   0.0
520.812829331   0.0   0.0
533.515581266   0.0   0.0
546.218333201   0.0   0.0
558.921085136   0.0   0.0
571.623837071   0.0   0.0
584.326589006   0.0   0.0
597.029340941   0.0   0.0
609.732092876   0.0   0.0
622.434844811   0.0   0.0
635.137596746   0.0   0.0
647.840348681   0.0   0.0
660.543100616   0.0   0.0
673.24585255   0.0   0.0
685.948604485   0.0   0.0
698.65135642   0.0   0.0
711.354108355   0.0   0.0
724.05686029   0.0   0.0
736.759612225   0.0   0.0
749.46236416   0.0   0.0
762.165116095   0.0   0.0
774.86786803   0.0   0.0
787.570619965   0.0   0.0
800.2733719   0.0   0.0
812.976123834   0.0   0.0
825.678875769   0.0   0.0
838.381627704   0.0   0.0
851.084379639   0.0   0.0
863.787131574   0.0   0.0
876.489883509   0.0   0.0
889.192635444   0.0   0.0
901.895387379   0.0   0.0
914.598139314   0.0   0.0
927.300891249   0.0   0.0
940.003643184   0.0   0.0
952.706395119   0.0   0.0
965.409147053   0.0   0.0
978.111898988   0.0   0.0
990.814650923   nan   nan
1003.51740286   nan   nan
1016.22015479   nan   nan
1028.92290673   nan   nan
1041.62565866   nan   nan
1054.3284106   nan   nan
1067.03116253   nan   nan
1079.73391447   nan   nan
1092.4366664   nan   nan
1105.13941834   nan   nan
1117.84217027   nan   nan
1130.54492221   nan   nan
1143.24767414   nan   nan
1155.95042608   nan   nan
1168.65317801   nan   nan
1181.35592995   nan   nan
1194.05868188   nan   nan
1206.76143382   nan   nan
1219.46418575   nan   nan
1232.16693769   nan   nan
1244.86968962   nan   nan
1257.57244156   nan   nan
1270.27519349   nan   nan
1282.97794543   nan   nan
1295.68069736   nan   nan
1308.3834493   nan   nan
1321.08620123   nan   nan
1333.78895317   nan   nan
1346.4917051   nan   nan
1359.19445704   nan   nan
1371.89720897   nan   nan
1384.59996091   nan   nan
1397.30271284   nan   nan
1410.00546478   nan   nan
1422.70821671   nan   nan
1435.41096865   nan   nan
1448.11372058   nan   nan
1460.81647252   nan   nan
1473.51922445   nan   nan
1486.22197638   nan   nan
1498.92472832   nan   nan
1511.62748025   nan   nan
1524.33023219   nan   nan
1537.03298412   nan   nan
1549.73573606   nan   nan
1562.43848799   nan   nan
1575.14123993   nan   nan
1587.84399186   nan   nan
1600.5467438   nan   nan
1613.24949573   nan   nan
1625.95224767   nan   nan
1638.6549996   nan   nan
1651.35775154   nan   nan
1664.06050347   nan   nan
1676.76325541   nan   nan
1689.46600734   nan   nan
1702.16875928   nan   nan
1714.87151121   nan   nan
1727.57426315   nan   nan
1740.27701508   nan   nan
1752.97976702   nan   nan
1765.68251895   nan   nan
1778.38527089   nan   nan
1791.08802282   nan   nan
1803.79077476   nan   nan
1816.49352669   nan   nan
1829.19627863   nan   nan
1841.89903056   nan   nan
1854.6017825   nan   nan
1867.30453443   nan   nan
1880.00728637   nan   nan
1892.7100383   nan   nan
1905.41279024   nan   nan
1918.11554217   nan   nan
1930.81829411   nan   nan
1943.52104604   nan   nan
1956.22379798   nan   nan
1968.92654991   nan   nan
1981.62930185   nan   nan
1994.33205378   nan   nan
2007.03480572   nan   nan
2019.73755765   nan   nan
2032.44030959   nan   nan
2045.14306152   nan   nan
2057.84581346   nan   nan
2070.54856539   nan   nan
2083.25131733   nan   nan
2095.95406926   nan   nan
2108.6568212   nan   nan
2121.35957313   nan   nan
2134.06232507   nan   nan
2146.765077   nan   nan
2159.46782894   nan   nan
2172.17058087   nan   nan
2184.87333281   nan   nan
2197.57608474   nan   nan
2210.27883667   nan   nan
2222.98158861   nan   nan
2235.68434054   nan   nan
2248.38709248   nan   nan
2261.08984441   nan   nan
2273.79259635   nan   nan
2286.49534828   nan   nan
2299.19810022   nan   nan
2311.90085215   nan   nan
2324.60360409   nan   nan
2337.30635602   nan   nan
2350.00910796   nan   nan
2362.71185989   nan   nan
2375.41461183   nan   nan
2388.11736376   nan   nan
2400.8201157   nan   nan
2413.52286763   nan   nan
2426.22561957   nan   nan
2438.9283715   nan   nan
2451.63112344   nan   nan
2464.33387537   nan   nan
2477.03662731   nan   nan
2489.73937924   nan   nan
2502.44213118   nan   nan
2515.14488311   nan   nan
2527.84763505   nan   nan
2540.55038698   nan   nan
2553.25313892   nan   nan
2565.95589085   nan   nan
2578.65864279   nan   nan
2591.36139472   nan   nan
2604.06414666   nan   nan
2616.76689859   nan   nan
2629.46965053   nan   nan
2642.17240246   nan   nan
2654.8751544   nan   nan
2667.57790633   nan   nan
2680.28065827   nan   nan
2692.9834102   nan   nan
2705.68616214   nan   nan
2718.38891407   nan   nan
2731.09166601   nan   nan
2743.79441794   nan   nan
2756.49716988   nan   nan
2769.19992181   nan   nan
2781.90267375   nan   nan
2794.60542568   nan   nan
2807.30817762   nan   nan
2820.01092955   nan   nan
2832.71368149   nan   nan
2845.41643342   nan   nan
2858.11918536   nan   nan
2870.82193729   nan   nan
2883.52468923   nan   nan
2896.22744116   nan   nan
2908.9301931   nan   nan
2921.63294503   nan   nan
2934.33569697   nan   nan
2947.0384489   nan   nan
2959.74120083   nan   nan
2972.44395277   nan   nan
2985.1467047   nan   nan
2997.84945664   nan   nan
3010.55220857   nan   nan
3023.25496051   nan   nan
3035.95771244   nan   nan
3048.66046438   nan   nan
3061.36321631   nan   nan
3074.06596825   nan   nan
3086.76872018   nan   nan
3099.47147212   nan   nan
3112.17422405   nan   nan
3124.87697599   nan   nan
3137.57972792   nan   nan
3150.28247986   nan   nan
3162.98523179   nan   nan
3175.68798373   nan   nan
3188.39073566   nan   nan
3201.0934876   nan   nan
3213.79623953   nan   nan
3226.49899147   nan   nan
3239.2017434   nan   nan
3251.90449534   nan   nan
3264.60724727   nan   nan
3277.30999921   nan   nan
3290.01275114   nan   nan
3302.71550308   nan   nan
3315.41825501   nan   nan
3328.12100695   nan   nan
3340.82375888   nan   nan
3353.52651082   nan   nan
3366.22926275   nan   nan
3378.93201469   nan   nan
3391.63476662   nan   nan
3404.33751856   nan   nan
3417.04027049   nan   nan
3429.74302243   nan   nan
3442.44577436   nan   nan
3455.1485263   nan   nan
3467.85127823   nan   nan
3480.55403017   nan   nan
3493.2567821   nan   nan
3505.95953404   nan   nan
3518.66228597   nan   nan
3531.36503791   nan   nan
3544.06778984   nan   nan
3556.77054178   nan   nan
3569.47329371   nan   nan
3582.17604565   nan   nan
3594.87879758   nan   nan
3607.58154952   nan   nan
3620.28430145   nan   nan
3642.5765686   

#S 4 Spectrum ID ('bank1', (3, 127))
#N 3
#L lambda_T(Angstroms)  Intensity(Counts/A)  Sigma(Counts/A)
0.0   nan   nan
12.7027519349   nan   nan
25.4055038698   nan   nan
38.1082558047   nan   nan
50.8110077397   nan   nan
63.5137596746   nan   nan
76.2165116095   nan   nan
88.9192635444   nan   nan
101.622015479   nan   nan
114.324767414   nan   nan
127.027519349   nan   nan
139.730271284   nan   nan
152.433023219   nan   nan
165.135775154   nan   nan
177.838527089   nan   nan
190.541279024   nan   nan
203.244030959   nan   nan
215.946782894   nan   nan
228.649534828   nan   nan
241.352286763   nan   nan
254.055038698   nan   nan
266.757790633   nan   nan
279.460542568   nan   nan
292.163294503   nan   nan
304.866046438   nan   nan
317.568798373   nan   nan
330.271550308   0.0   0.0
342.974302243   0.0   0.0
355.677054178   0.0   0.0
368.379806112   0.0   0.0
381.082558047   0.0   0.0
393.785309982   0.0   0.0
406.488061917   0.0   0.0
419.190813852   0.0   0.0
431.893565787   0.0   0.0
444.596317722   0.0   0.0
457.299069657   0.0   0.0
470.001821592   0.0   0.0
482.704573527   0.0   0.0
495.407325462   0.0   0.0
508.110077397   0.0   0.0
520.812829331   0.0   0.0
533.515581266   0.0   0.0
546.218333201   0.0   0.0
558.921085136   0.0   0.0
571.623837071   0.0   0.0
584.326589006   0.0   0.0
597.029340941   0.0   0.0
609.732092876   0.0   0.0
622.434844811   0.0   0.0
635.137596746   0.0   0.0
647.840348681   0.0   0.0
660.543100616   0.0   0.0
673.24585255   0.0   0.0
685.948604485   0.0   0.0
698.65135642   0.0   0.0
711.354108355   0.0   0.0
724.05686029   0.0   0.0
736.759612225   0.0   0.0
749.46236416   0.0   0.0
762.165116095   0.0   0.0
774.86786803   0.0   0.0
787.570619965   0.0   0.0
800.2733719   0.0   0.0
812.976123834   0.0   0.0
825.678875769   0.0   0.0
838.381627704   0.0   0.0
851.084379639   0.0   0.0
863.787131574   0.0   0.0
876.489883509   0.0   0.0
889.192635444   0.0   0.0
901.895387379   0.0   0.0
914.598139314   0.0   0.0
927.300891249   0.0   0.0
940.003643184   0.0   0.0
952.706395119   0.0   0.0
965.409147053   0.0   0.0
978.111898988   0.0   0.0
990.814650923   nan   nan
1003.51740286   nan   nan
1016.22015479   nan   nan
1028.92290673   nan   nan
1041.62565866   nan   nan
1054.3284106   nan   nan
1067.03116253   nan   nan
1079.73391447   nan   nan
1092.4366664   nan   nan
1105.13941834   nan   nan
1117.84217027   nan   nan
1130.54492221   nan   nan
1143.24767414   nan   nan
1155.95042608   nan   nan
1168.65317801   nan   nan
1181.35592995   nan   nan
1194.05868188   nan   nan
1206.76143382   nan   nan
1219.46418575   nan   nan
1232.16693769   nan   nan
1244.86968962   nan   nan
1257.57244156   nan   nan
1270.27519349   nan   nan
1282.97794543   nan   nan
1295.68069736   nan   nan
1308.3834493   nan   nan
1321.08620123   nan   nan
1333.78895317   nan   nan
1346.4917051   nan   nan
1359.19445704   nan   nan
1371.89720897   nan   nan
1384.59996091   nan   nan
1397.30271284   nan   nan
1410.00546478   nan   nan
1422.70821671   nan   nan
1435.41096865   nan   nan
1448.11372058   nan   nan
1460.81647252   nan   nan
1473.51922445   nan   nan
1486.22197638   nan   nan
1498.92472832   nan   nan
1511.62748025   nan   nan
1524.33023219   nan   nan
1537.03298412   nan   nan
1549.73573606   nan   nan
1562.43848799   nan   nan
1575.14123993   nan   nan
1587.84399186   nan   nan
1600.5467438   nan   nan
1613.24949573   nan   nan
1625.95224767   nan   nan
1638.6549996   nan   nan
1651.35775154   nan   nan
1664.06050347   nan   nan
1676.76325541   nan   nan
1689.46600734   nan   nan
1702.16875928   nan   nan
1714.87151121   nan   nan
1727.57426315   nan   nan
1740.27701508   nan   nan
1752.97976702   nan   nan
1765.68251895   nan   nan
1778.38527089   nan   nan
1791.08802282   nan   nan
1803.79077476   nan   nan
1816.49352669   nan   nan
1829.19627863   nan   nan
1841.89903056   nan   nan
1854.6017825   nan   nan
1867.30453443   nan   nan
1880.00728637   nan   nan
1892.7100383   nan   nan
1905.41279024   nan   nan
1918.11554217   nan   nan
1930.81829411   nan   nan
1943.52104604   nan   nan
1956.22379798   nan   nan
1968.92654991   nan   nan
1981.62930185   nan   nan
1994.33205378   nan   nan
2007.03480572   nan   nan
2019.73755765   nan   nan
2032.44030959   nan   nan
2045.14306152   nan   nan
